prot	gene.num
CFIm25	142
CFIm59	210
CFIm68	173
CPSF100	4
CPSF160	182
CPSF30	21
CPSF73	5
CstF64	188
CstF64tau	215
Fip1	94
HuR_Mukherjee	37
PTB	8
TDP43	11
TDP43_ES	11
TDP43_Hela	1
TDP43_SHSY5Y	2
TIA1	39
TIAL1	68
TIAL1_Hela	106
U2AF65	38
hnRNPC	15
CFIm25	237
CFIm59	309
CFIm68	272
CPSF100	13
CPSF160	298
CPSF30	69
CPSF73	37
CstF64	277
CstF64tau	308
Fip1	166
HuR_Mukherjee	77
PTB	42
TDP43	22
TDP43_ES	21
TDP43_Hela	3
TDP43_SHSY5Y	10
TIA1	99
TIAL1	136
TIAL1_Hela	209
U2AF65	85
hnRNPC	53
