prot	gene.num
CFIm25	7
CFIm59	14
CFIm68	13
CPSF160	12
CPSF30	1
CstF64	15
CstF64tau	15
Fip1	7
HuR_Mukherjee	2
TDP43	1
TDP43_ES	1
TIAL1_Hela	3
hnRNPC	2
CFIm25	58
CFIm59	84
CFIm68	63
CPSF100	3
CPSF160	77
CPSF30	19
CPSF73	5
CstF64	81
CstF64tau	91
Fip1	40
HuR_Mukherjee	11
PTB	11
TDP43	3
TDP43_ES	3
TDP43_SHSY5Y	3
TIA1	16
TIAL1	25
TIAL1_Hela	43
U2AF65	17
hnRNPC	5
