prot	gene.num
CFIm25	35
CFIm59	66
CFIm68	50
CPSF100	1
CPSF160	52
CPSF30	9
CPSF73	3
CstF64	63
CstF64tau	63
Fip1	30
HuR_Mukherjee	11
PTB	1
TDP43	2
TDP43_ES	2
TDP43_SHSY5Y	1
TIA1	7
TIAL1	12
TIAL1_Hela	20
U2AF65	7
hnRNPC	8
CFIm25	38
CFIm59	56
CFIm68	43
CPSF160	52
CPSF30	16
CPSF73	7
CstF64	53
CstF64tau	59
Fip1	21
HuR_Mukherjee	8
PTB	7
TDP43	5
TDP43_ES	5
TDP43_Hela	2
TDP43_SHSY5Y	1
TIA1	13
TIAL1	15
TIAL1_Hela	25
U2AF65	5
hnRNPC	5
