prot	gene.num
CFIm25	205
CFIm59	277
CFIm68	225
CPSF100	10
CPSF160	240
CPSF30	40
CPSF73	21
CstF64	259
CstF64tau	308
Fip1	117
HuR_Mukherjee	47
PTB	8
TDP43	6
TDP43_ES	8
TDP43_Hela	1
TDP43_SHSY5Y	4
TIA1	50
TIAL1	81
TIAL1_Hela	144
U2AF65	34
hnRNPC	12
CFIm25	31
CFIm59	50
CFIm68	34
CPSF100	2
CPSF160	41
CPSF30	8
CPSF73	1
CstF64	41
CstF64tau	46
Fip1	17
HuR_Mukherjee	7
PTB	5
TDP43	1
TDP43_ES	1
TDP43_SHSY5Y	1
TIA1	7
TIAL1	8
TIAL1_Hela	14
U2AF65	9
hnRNPC	7
