prot	gene.num
CFIm25	7
CFIm59	13
CFIm68	9
CPSF160	11
CstF64	11
CstF64tau	16
Fip1	3
HuR_Mukherjee	5
PTB	1
TDP43	1
TDP43_ES	1
TIAL1	1
TIAL1_Hela	4
U2AF65	2
hnRNPC	3
CFIm25	54
CFIm59	84
CFIm68	67
CPSF100	3
CPSF160	74
CPSF30	18
CPSF73	4
CstF64	65
CstF64tau	88
Fip1	36
HuR_Mukherjee	12
PTB	9
TDP43	4
TDP43_ES	4
TDP43_Hela	1
TDP43_SHSY5Y	2
TIA1	16
TIAL1	16
TIAL1_Hela	37
U2AF65	14
hnRNPC	7
