cond	prot	gene.num
brain	CFIm25	6
brain	CFIm59	17
brain	CFIm68	13
brain	CPSF160	11
brain	CstF64	14
brain	CstF64tau	17
brain	Fip1	7
brain	HuR_Mukherjee	3
brain	TDP43	1
brain	TDP43_ES	1
brain	TIA1	1
brain	TIAL1	1
brain	TIAL1_Hela	5
brain	U2AF65	1
brain	hnRNPC	1
liver	CFIm25	8
liver	CFIm59	17
liver	CFIm68	12
liver	CPSF160	13
liver	CPSF30	5
liver	CPSF73	2
liver	CstF64	16
liver	CstF64tau	15
liver	Fip1	8
liver	HuR_Mukherjee	2
liver	PTB	1
liver	TDP43	1
liver	TDP43_ES	1
liver	TDP43_SHSY5Y	1
liver	TIA1	1
liver	TIAL1	2
liver	TIAL1_Hela	5
liver	U2AF65	2
liver	hnRNPC	3
maqcUHR1	CFIm25	15
maqcUHR1	CFIm59	26
maqcUHR1	CFIm68	19
maqcUHR1	CPSF160	24
maqcUHR1	CPSF30	2
maqcUHR1	CPSF73	1
maqcUHR1	CstF64	25
maqcUHR1	CstF64tau	26
maqcUHR1	Fip1	11
maqcUHR1	HuR_Mukherjee	4
maqcUHR1	PTB	1
maqcUHR1	TDP43	1
maqcUHR1	TDP43_ES	1
maqcUHR1	TIA1	1
maqcUHR1	TIAL1	3
maqcUHR1	TIAL1_Hela	6
maqcUHR1	U2AF65	2
maqcUHR1	hnRNPC	2
maqcUHR2	CFIm25	7
maqcUHR2	CFIm59	14
maqcUHR2	CFIm68	13
maqcUHR2	CPSF160	12
maqcUHR2	CPSF30	1
maqcUHR2	CstF64	15
maqcUHR2	CstF64tau	15
maqcUHR2	Fip1	7
maqcUHR2	HuR_Mukherjee	2
maqcUHR2	TDP43	1
maqcUHR2	TDP43_ES	1
maqcUHR2	TIAL1_Hela	3
maqcUHR2	hnRNPC	2
maqcbrain1	CFIm25	9
maqcbrain1	CFIm59	17
maqcbrain1	CFIm68	11
maqcbrain1	CPSF160	14
maqcbrain1	CPSF30	2
maqcbrain1	CstF64	15
maqcbrain1	CstF64tau	16
maqcbrain1	Fip1	9
maqcbrain1	TIA1	1
maqcbrain1	TIAL1	2
maqcbrain1	TIAL1_Hela	5
maqcbrain1	hnRNPC	1
maqcbrain2	CFIm25	15
maqcbrain2	CFIm59	20
maqcbrain2	CFIm68	15
maqcbrain2	CPSF160	16
maqcbrain2	CPSF30	2
maqcbrain2	CPSF73	1
maqcbrain2	CstF64	20
maqcbrain2	CstF64tau	20
maqcbrain2	Fip1	8
maqcbrain2	HuR_Mukherjee	2
maqcbrain2	PTB	1
maqcbrain2	TDP43	1
maqcbrain2	TDP43_ES	1
maqcbrain2	TIA1	3
maqcbrain2	TIAL1	3
maqcbrain2	TIAL1_Hela	6
maqcbrain2	U2AF65	1
maqcbrain2	hnRNPC	2
muscle	CFIm25	7
muscle	CFIm59	13
muscle	CFIm68	9
muscle	CPSF160	11
muscle	CstF64	11
muscle	CstF64tau	16
muscle	Fip1	3
muscle	HuR_Mukherjee	5
muscle	PTB	1
muscle	TDP43	1
muscle	TDP43_ES	1
muscle	TIAL1	1
muscle	TIAL1_Hela	4
muscle	U2AF65	2
muscle	hnRNPC	3
testis	CFIm25	14
testis	CFIm59	17
testis	CFIm68	14
testis	CPSF160	12
testis	CPSF30	2
testis	CPSF73	1
testis	CstF64	13
testis	CstF64tau	16
testis	Fip1	5
testis	HuR_Mukherjee	2
testis	PTB	1
testis	TDP43	1
testis	TDP43_ES	1
testis	TIA1	2
testis	TIAL1	4
testis	TIAL1_Hela	7
testis	U2AF65	1
testis	hnRNPC	2
