prot	gene.num
CFIm25	166
CFIm59	242
CFIm68	202
CPSF100	5
CPSF160	217
CPSF30	30
CPSF73	13
CstF64	213
CstF64tau	245
Fip1	125
HuR_Mukherjee	46
PTB	16
TDP43	18
TDP43_ES	18
TDP43_Hela	1
TDP43_SHSY5Y	6
TIA1	50
TIAL1	87
TIAL1_Hela	141
U2AF65	47
hnRNPC	18
CFIm25	335
CFIm59	436
CFIm68	383
CPSF100	17
CPSF160	418
CPSF30	92
CPSF73	44
CstF64	387
CstF64tau	436
Fip1	226
HuR_Mukherjee	135
PTB	58
TDP43	32
TDP43_ES	31
TDP43_Hela	4
TDP43_SHSY5Y	10
TIA1	146
TIAL1	195
TIAL1_Hela	315
U2AF65	125
hnRNPC	79
