prot	gene.num
CFIm25	209
CFIm59	295
CFIm68	231
CPSF100	10
CPSF160	249
CPSF30	42
CPSF73	19
CstF64	280
CstF64tau	308
Fip1	129
HuR_Mukherjee	46
PTB	10
TDP43	5
TDP43_ES	7
TDP43_Hela	1
TDP43_SHSY5Y	3
TIA1	54
TIAL1	93
TIAL1_Hela	149
U2AF65	36
hnRNPC	15
CFIm25	25
CFIm59	48
CFIm68	29
CPSF100	1
CPSF160	43
CPSF30	8
CPSF73	4
CstF64	37
CstF64tau	47
Fip1	15
HuR_Mukherjee	5
PTB	3
TDP43	2
TDP43_ES	2
TDP43_SHSY5Y	1
TIA1	5
TIAL1	5
TIAL1_Hela	13
U2AF65	11
hnRNPC	4
