prot	gene.num
CFIm25	15
CFIm59	20
CFIm68	15
CPSF160	16
CPSF30	2
CPSF73	1
CstF64	20
CstF64tau	20
Fip1	8
HuR_Mukherjee	2
PTB	1
TDP43	1
TDP43_ES	1
TIA1	3
TIAL1	3
TIAL1_Hela	6
U2AF65	1
hnRNPC	2
CFIm25	46
CFIm59	71
CFIm68	51
CPSF100	1
CPSF160	54
CPSF30	13
CPSF73	6
CstF64	62
CstF64tau	69
Fip1	32
HuR_Mukherjee	6
PTB	9
TDP43	1
TDP43_ES	1
TDP43_SHSY5Y	2
TIA1	10
TIAL1	14
TIAL1_Hela	32
U2AF65	8
hnRNPC	4
